,from,to,maxspeed,length
0,0,8154,60,8.425
1,0,32,50,19.753
2,1,2,100,713.6489999999999
3,2,23156,0,756.433
4,2,3,100,386.346
5,3,20,0,845.8969999999999
6,3,14,100,1761.61
7,4,8222,100,811.7230000000001
8,5,14037,0,550.7969999999998
9,5,6,100,535.1030000000002
10,6,509,100,473.257
11,7,6092,100,1928.944
12,8,13969,0,607.029
13,8,83,100,632.613
14,9,22211,0,705.949
15,9,18,100,667.1089999999998
16,10,9622,100,1435.4519999999998
17,11,14484,0,593.1320000000002
18,11,12,100,564.764
19,13,29,0,1254.6540000000002
20,13,28,0,769.811
21,14,22205,0,643.345
22,14,4,100,723.6170000000002
23,15,87,60,239.41000000000005
24,16,8222,0,597.236
25,17,10,0,346.14
26,18,10,100,648.4830000000001
27,18,19,0,517.982
28,19,21,0,675.9069999999998
29,19,5024,0,1785.231
30,20,5024,0,769.7130000000001
31,20,21,0,1758.063
32,21,22,0,449.215
33,22,23,100,655.1750000000002
34,23,112,100,1229.241
35,24,23,0,333.646
36,25,24988,0,503.973
37,26,25,0,488.79
38,26,15088,60,236.308
39,27,29,0,729.567
40,27,28,0,1234.999
41,28,9622,0,449.6830000000001
42,29,4,0,558.395
43,30,11,100,943.1
44,31,8152,0,105.578
45,31,2577,50,295.615
46,32,12334,50,14.2
47,33,8305,0,19.758
48,33,8306,60,53.707
49,34,117,100,792.2710000000001
50,35,22765,60,10.872
51,35,19129,50,9.994
52,36,17074,50,14.054
53,36,10719,50,67.691
54,37,9024,50,16.848
55,37,10671,0,12.153
56,37,450,50,105.922
57,38,14530,50,16.404
58,38,14528,50,15.931
59,38,14531,50,11.335
60,38,14529,50,13.908
61,39,14057,0,13.115
62,39,10848,0,8.88
63,39,11814,50,28.068
64,40,17508,50,19.813
65,40,25364,0,7.675
66,40,17564,50,71.84
67,41,8171,0,9.417
68,41,17140,0,77.512
69,41,5117,0,26.882
70,42,5117,0,55.715
71,42,13044,0,11.049
72,42,8173,0,15.848
73,43,17262,0,21.385
74,43,16306,0,25.311
75,43,21158,0,8.672
76,44,17281,50,54.005
77,44,13043,50,23.203000000000003
78,44,13042,0,15.837
79,44,21166,0,12.023
80,45,17353,50,4.722
81,45,17327,50,37.869
82,45,22003,0,8.967
83,46,22012,0,9.63
84,46,16286,50,24.43
85,46,16284,50,11.477
86,47,14147,0,9.726
87,47,22021,60,11.847
88,48,21590,0,9.896
89,48,20841,50,15.555
90,48,17266,50,101.248
91,49,13049,0,15.744000000000002
92,49,13046,0,15.885
93,49,13048,0,16.142
94,49,13047,0,15.666
95,50,17181,0,16.673
96,50,51,0,31.957
97,50,17174,0,47.336000000000006
98,51,50,0,31.957
99,51,16308,0,37.42
100,51,16302,0,54.348
101,52,17416,0,23.506
102,52,17420,0,16.647000000000002
103,52,17437,0,9.553
104,52,17439,0,132.664
105,53,17337,50,56.522
106,53,26354,0,14.1
107,53,17342,50,53.033
108,54,13064,50,10.529000000000002
109,54,13065,50,10.69
110,54,13063,0,12.281
111,54,13066,0,10.719
112,55,14425,50,12.767
113,55,11817,50,10.451
114,56,14056,0,11.572
115,56,14069,50,12.353
116,56,16090,50,104.956
117,56,25485,0,7.624
118,57,25379,0,14.390999999999998
119,57,16099,50,6.5760000000000005
120,57,16102,50,77.298
121,58,14071,0,18.658
122,58,14073,50,15.019
123,58,14070,50,17.070999999999998
124,58,14072,60,14.97
125,59,21866,0,64.80199999999999
126,59,20786,0,135.333
127,59,12893,0,120.699
128,59,21864,0,101.311
129,60,21868,0,96.249
130,60,61,0,195.345
131,60,21867,0,95.499
132,61,60,0,195.345
133,61,62,0,769.567
134,61,13066,0,186.014
135,62,21980,0,196.796
136,62,23411,0,197.501
137,62,61,0,769.567
138,63,24223,50,10.663
139,64,666,50,55.977
140,64,18277,50,143.08
141,65,2819,60,129.759
142,65,13851,60,50.276
143,66,22983,0,7.701
144,66,21620,0,19.015
145,66,10790,60,221.007
146,67,21468,60,15.409
147,67,13713,50,17.448
148,68,556,0,15.257
149,68,6835,0,15.386
150,68,20487,60,77.72399999999999
151,68,13994,60,240.283
152,69,2709,60,58.611
153,69,2662,60,38.322
154,70,13983,60,37.947
155,70,7531,60,138.661
156,71,14947,60,23.707
157,71,14949,60,28.267
158,71,14948,0,21.714
159,72,20633,0,9.514
160,72,24841,0,13.561
161,72,24834,60,16.292
162,73,4060,60,175.75400000000005
163,73,21631,60,57.303
164,74,24825,0,10.321
165,74,21630,0,12.156
166,74,75,60,46.224
167,75,76,60,143.005
168,75,24825,60,45.172
169,76,13990,60,54.669
170,76,75,60,143.005
171,77,81,100,663.7660000000002
172,77,5748,0,639.37
173,78,13967,60,12.906
174,78,2326,0,9.244
175,79,80,0,641.624
176,79,24774,0,308.664
177,79,24775,0,8.741999999999999
178,80,589,100,1083.307
179,81,80,100,548.419
180,82,81,0,372.915
181,82,5748,0,61.97899999999999
182,82,6054,0,213.187
183,83,390,100,554.938
184,84,24782,0,66.775
185,84,2006,60,135.16
186,85,79,0,63.09
187,85,6055,60,136.02100000000002
188,85,2305,60,32.806999999999995
189,86,22142,0,14.187
190,86,18383,40,9.084
191,86,22147,60,18.148
192,87,22209,0,70.832
193,87,33,60,121.398
194,88,8313,0,13.321
195,88,14133,60,15.159
196,88,22108,0,9.419
197,89,10850,0,9.491
198,89,10849,0,14.218
199,89,15908,50,67.63
200,89,11819,50,493.516
201,90,18004,60,15.882
202,90,18002,60,13.728
203,90,18003,50,14.941
204,90,15092,50,177.188
205,91,21162,0,7.31
206,91,17175,0,30.595
207,91,17172,0,14.428
208,92,21586,0,10.854
209,92,17238,50,17.41
210,92,150,50,33.675
211,93,4886,0,6.8260000000000005
212,93,95,50,16.4
213,94,801,50,97.625
214,94,13930,50,67.986
215,95,12240,0,79.279
216,96,11812,0,10.454
217,96,11811,50,17.927
218,96,11810,50,9.89
219,97,14358,50,24.777
220,97,14357,0,9.598
221,97,14354,50,41.653
222,98,12657,0,11.78
223,98,12656,50,11.169
224,98,12655,50,12.253
225,99,4967,40,68.309
226,99,24680,0,7.689
227,99,8236,40,367.91
228,100,11440,50,11.147
229,100,5062,40,14.407
230,100,11439,50,8.71
231,101,8087,40,17.2
232,101,4891,0,38.171
233,102,8077,0,10.691
234,102,8085,0,11.571
235,102,7974,40,7.935
236,102,7993,40,10.07
237,103,8085,0,124.687
238,103,7408,0,36.237
239,103,7975,0,6.854
240,103,8097,0,26.811
241,104,10001,0,33.433
242,104,7991,0,7.131
