,osmid,x,y
0,0,-79.3485035,43.8140708
1,1,-79.3986219,43.8371023
2,2,-79.3897679,43.8365205
3,3,-79.3849533,43.8366264
4,4,-79.3545942,43.8410207
5,5,-79.2635361,43.8606645
6,6,-79.2577507,43.8630622
7,7,-79.189672,43.8867945
8,8,-79.3004933,43.8520767
9,9,-79.3473301,43.842425
10,10,-79.3633778,43.839978
11,11,-79.3998122,43.8375521
12,12,-79.4067506,43.8384134
13,13,-79.3711011,43.8440108
14,14,-79.3634082,43.83963
15,15,-79.3553166,43.8394704
16,16,-79.3519158,43.8412025
17,17,-79.3594072,43.8411352
18,18,-79.355482,43.8412344
19,19,-79.3619041,43.8411836
20,20,-79.3745063,43.837553
21,21,-79.3688116,43.8439032
22,22,-79.3707672,43.8476651
23,23,-79.372272,43.8534562
24,24,-79.3712848,43.8505418
25,25,-79.3713026,43.8438921
26,26,-79.3758576,43.8457888
27,27,-79.3651485,43.8337267
28,28,-79.3755243,43.8384366
29,29,-79.3609353,43.8390026
30,30,-79.3881125,43.8368834
31,31,-79.3494678,43.8138557
32,32,-79.3487386,43.8140181
33,33,-79.3561525,43.8426587
34,34,-79.3809438,43.8886075
35,35,-79.3643968,43.8486452
36,36,-79.3799797,43.83955
37,37,-79.3774175,43.8442384
38,38,-79.3374681,43.8249594
39,39,-79.3416122,43.8280207
40,40,-79.3482403,43.8260387
41,41,-79.3423076,43.8178181
42,42,-79.3426388,43.8185214
43,43,-79.3454283,43.8219832
44,44,-79.3460629,43.8229663
45,45,-79.3448786,43.8232336
46,46,-79.3484324,43.8224167
47,47,-79.3508855,43.8221305
48,48,-79.3362841,43.8231221
49,49,-79.3447198,43.8211748
50,50,-79.3467394,43.8202102
51,51,-79.3470333,43.8204041
52,52,-79.3422995,43.8256383
53,53,-79.3416386,43.823954
54,54,-79.3281375,43.8270935
55,55,-79.3413153,43.8280907
56,56,-79.3379132,43.8305515
57,57,-79.3354066,43.8325651
58,58,-79.3320906,43.8363644
59,59,-79.3296481,43.8328519
60,60,-79.3290949,43.8305512
61,61,-79.3286267,43.8288272
62,62,-79.3358075,43.8291245
63,63,-79.2612207,43.8343066
64,64,-79.2458864,43.8378279
65,65,-79.2870516,43.8776127
66,66,-79.3367643,43.8548426
67,67,-79.3461612,43.8525728
68,68,-79.3043134,43.8643538
69,69,-79.3028328,43.8606483
70,70,-79.302751,43.8592038
71,71,-79.3167781,43.8891984
72,72,-79.3148486,43.8822325
73,73,-79.3134573,43.8774044
74,74,-79.3128643,43.8767637
75,75,-79.3123902,43.8765442
76,76,-79.3108255,43.8759527
77,77,-79.3146819,43.8484575
78,78,-79.3069211,43.8489934
79,79,-79.306558,43.8489499
80,80,-79.3003013,43.8518176
81,81,-79.3068126,43.8503088
82,82,-79.3074437,43.8494047
83,83,-79.3080003,43.8503274
84,84,-79.3078085,43.8507323
85,85,-79.3064375,43.8483979
86,86,-79.3550168,43.8375987
87,87,-79.3558666,43.8415866
88,88,-79.3530378,43.8302322
89,89,-79.3455898,43.831931
90,90,-79.3462134,43.8333348
91,91,-79.3434199,43.8196052
92,92,-79.3357408,43.8213852
93,93,-79.4281433,43.8324729
94,94,-79.4280742,43.8317239
95,95,-79.4281723,43.8326189
96,96,-79.3927566,43.8040251
97,97,-79.3915574,43.8043058
98,98,-79.376084,43.8077303
99,99,-79.4097389,43.8163078
100,100,-79.3857614,43.8055737
101,101,-79.4253676,43.8229565
102,102,-79.4236066,43.8230241
103,103,-79.4235122,43.8242476
104,104,-79.4235835,43.8215611
105,105,-79.4226196,43.8207178
106,106,-79.4244134,43.8213061
107,107,-79.3617805,43.8680601
108,108,-79.3393903,43.8737959
109,109,-79.2395336,43.897764
110,110,-79.3508957,43.8896809
111,111,-79.3432226,43.8922995
112,112,-79.3749221,43.8643443
113,113,-79.373117,43.8846598
114,114,-79.3783141,43.8781917
115,115,-79.3754517,43.8842152
116,116,-79.3796423,43.8834897
117,117,-79.3826332,43.8956274
118,118,-79.3808728,43.9021149
119,119,-79.3850405,43.9054626
120,120,-79.3838772,43.9007
121,121,-79.3651445,43.8484769
122,122,-79.36133,43.8492814
123,123,-79.3520191,43.8512913
124,124,-79.377864,43.8453099
125,125,-79.3612781,43.8490688
126,126,-79.3708281,43.8469517
127,127,-79.3461012,43.8523201
128,128,-79.3095968,43.8614559
129,129,-79.3149587,43.8602456
130,130,-79.324527,43.8579917
131,131,-79.3370631,43.8549247
132,132,-79.210564,43.8834117
133,133,-79.2366286,43.8791107
134,134,-79.2603165,43.8738001
135,135,-79.1799911,43.8531472
136,136,-79.4144686,43.7992607
137,137,-79.4028856,43.8018106
138,138,-79.4008678,43.8022355
139,139,-79.4170699,43.7986884
140,140,-79.3703508,43.8671361
141,141,-79.3701883,43.8574137
142,142,-79.3683521,43.8549577
143,143,-79.3676562,43.8533412
144,144,-79.3692424,43.8520664
145,145,-79.3662765,43.8637706
146,146,-79.3634852,43.8597661
147,147,-79.3627414,43.8589846
148,148,-79.3367654,43.8177972
149,149,-79.3354659,43.8204544
150,150,-79.3357703,43.8216871
151,151,-79.340118,43.827482
152,152,-79.3426272,43.8277491
153,153,-79.3996527,43.8126229
154,154,-79.4056956,43.8365115
155,155,-79.4052526,43.83558
156,156,-79.4060979,43.8386268
157,157,-79.4060261,43.8376248
158,158,-79.4054987,43.8379572
159,159,-79.3810366,43.8393693
160,160,-79.3821405,43.8438189
161,161,-79.4118226,43.7998404
162,162,-79.4016609,43.8020696
163,163,-79.4208321,43.8008782
164,164,-79.4203162,43.799007
165,165,-79.4205745,43.7999411
166,166,-79.4098252,43.8023008
167,167,-79.409594,43.8013564
168,168,-79.2513533,43.8381809
169,169,-79.3677108,43.8096222
170,170,-79.3627714,43.8107247
171,171,-79.3650079,43.8102172
172,172,-79.3499388,43.82225
173,173,-79.3460635,43.8208561
174,174,-79.3488187,43.8147345
175,175,-79.2336832,43.8705384
176,176,-79.2585278,43.8932804
177,177,-79.2478556,43.8902204
178,178,-79.2394897,43.8975801
179,179,-79.2387809,43.8907248
180,180,-79.2552339,43.8908457
181,181,-79.2545815,43.8893401
182,182,-79.2539827,43.8879651
183,183,-79.2619568,43.8829505
184,184,-79.2592163,43.8850244
185,185,-79.2444285,43.8842442
186,186,-79.2361714,43.8840874
187,187,-79.2432666,43.8778941
188,188,-79.2501904,43.8768439
189,189,-79.245202,43.8813584
190,190,-79.2506032,43.8828967
191,191,-79.2553872,43.8859036
192,192,-79.3612438,43.8123733
193,193,-79.3702706,43.8227734
194,194,-79.3717419,43.8288466
195,195,-79.371413,43.8278212
196,196,-79.3710661,43.8265931
197,197,-79.3705822,43.8279924
198,198,-79.3801559,43.836287
199,199,-79.3805672,43.838005
200,200,-79.381726,43.8418829
201,201,-79.3730353,43.8807797
202,202,-79.3728914,43.8802198
203,203,-79.3727038,43.8795373
204,204,-79.3725841,43.8789919
205,205,-79.372398,43.8783739
206,206,-79.3722671,43.8778155
207,207,-79.3721118,43.8772093
208,208,-79.3719706,43.8766309
209,209,-79.3717396,43.8760168
210,210,-79.3716544,43.8753423
211,211,-79.3714935,43.8747424
212,212,-79.3713691,43.8741806
213,213,-79.3712268,43.8735578
214,214,-79.3762327,43.8801406
215,215,-79.369145,43.8756675
216,216,-79.3689921,43.8750727
217,217,-79.3688454,43.8745019
218,218,-79.3680874,43.8745903
219,219,-79.3648064,43.8750229
220,220,-79.3687002,43.8739368
221,221,-79.3685587,43.8733862
222,222,-79.3684149,43.8728268
223,223,-79.3601722,43.872061
224,224,-79.3703963,43.8805428
225,225,-79.3702372,43.8799174
226,226,-79.3700848,43.8793243
227,227,-79.3699292,43.8787267
228,228,-79.3697811,43.8781317
229,229,-79.3696287,43.8775542
230,230,-79.3694763,43.8769589
231,231,-79.3693065,43.8762959
232,232,-79.3685123,43.8763822
233,233,-79.367248,43.8765748
234,234,-79.3682089,43.8751305
235,235,-79.3683426,43.8757348
236,236,-79.362612,43.8770954
237,237,-79.3673897,43.8746764
238,238,-79.3663968,43.8753825
239,239,-79.3691024,43.8807185
240,240,-79.3682941,43.8808204
241,241,-79.3660307,43.8810984
242,242,-79.369832,43.8842613
243,243,-79.3696503,43.8837033
244,244,-79.3694868,43.8830486
245,245,-79.3694864,43.8823106
246,246,-79.3692474,43.8812964
247,247,-79.3703641,43.8823018
248,248,-79.3707534,43.8840926
249,249,-79.3711426,43.8847762
250,250,-79.3690404,43.884443
251,251,-79.36877,43.88382
252,252,-79.3686744,43.8830875
253,253,-79.3686726,43.8823271
254,254,-79.366724,43.8825512
255,255,-79.3684723,43.8815649
256,256,-79.3681312,43.8801753
257,257,-79.3679801,43.879596
258,258,-79.3678425,43.8790029
259,259,-79.3677107,43.8784175
260,260,-79.3675481,43.8778377
261,261,-79.3674067,43.8772427
262,262,-79.3656534,43.8780584
263,263,-79.3660427,43.8792393
264,264,-79.3637594,43.8837582
265,265,-79.3645426,43.8815371
266,266,-79.3572846,43.8727371
267,267,-79.3560112,43.8730378
268,268,-79.3542019,43.87352
269,269,-79.3497948,43.875386
270,270,-79.3474618,43.8757148
271,271,-79.3462637,43.8758505
272,272,-79.3451779,43.8760978
273,273,-79.3440711,43.8764382
274,274,-79.3434156,43.8766642
275,275,-79.3414942,43.8767321
276,276,-79.3555525,43.8852242
277,277,-79.3578993,43.8831032
278,278,-79.3632225,43.8820325
279,279,-79.3550804,43.8857562
280,280,-79.3640223,43.8817378
281,281,-79.3554323,43.8851624
282,282,-79.3604301,43.8772245
283,283,-79.3584824,43.8764991
284,284,-79.3569982,43.8744416
285,285,-79.3549705,43.8717695
286,286,-79.3537152,43.8710518
287,287,-79.3525219,43.8700456
288,288,-79.3616407,43.8871928
289,289,-79.3613448,43.8855345
290,290,-79.3452594,43.8909878
291,291,-79.3471001,43.8908916
292,292,-79.3451871,43.8903375
293,293,-79.3483524,43.8903408
294,294,-79.3508874,43.8890951
295,295,-79.3428774,43.8908797
296,296,-79.3423386,43.8884885
297,297,-79.3432202,43.8880807
298,298,-79.3437278,43.8878581
299,299,-79.3439794,43.8877772
300,300,-79.3447935,43.8871089
301,301,-79.3453106,43.8865015
302,302,-79.348265,43.8846601
303,303,-79.3510047,43.8846131
304,304,-79.3556351,43.8860873
305,305,-79.3577394,43.8881499
306,306,-79.343303,43.8728576
307,307,-79.3430369,43.8722046
308,308,-79.348116,43.8710636
309,309,-79.3485876,43.8720677
310,310,-79.3490902,43.87273
311,311,-79.3493688,43.8736499
312,312,-79.3495803,43.8744784
313,313,-79.3507348,43.8772016
314,314,-79.3597087,43.8710098
315,315,-79.3587918,43.8702881
316,316,-79.3579041,43.8698133
317,317,-79.3576424,43.8696343
318,318,-79.3570235,43.8684266
319,319,-79.3577673,43.8737136
320,320,-79.3547794,43.8743188
321,321,-79.3472258,43.8748512
322,322,-79.3423829,43.8749399
323,323,-79.341378,43.8758758
324,324,-79.3423,43.8743452
325,325,-79.341043,43.8742896
326,326,-79.3441376,43.8780544
327,327,-79.34475,43.8785513
328,328,-79.3457919,43.8793685
329,329,-79.3466294,43.8799438
330,330,-79.3476204,43.8799561
331,331,-79.348744,43.8797534
332,332,-79.3499595,43.8795328
333,333,-79.3512014,43.8792406
334,334,-79.3522407,43.8789289
335,335,-79.3532418,43.8782882
336,336,-79.3546072,43.8778069
337,337,-79.356313,43.8774277
338,338,-79.3443656,43.872871
339,339,-79.3473676,43.8724138
340,340,-79.3501538,43.8723708
341,341,-79.3559698,43.871295
342,342,-79.3570901,43.870165
343,343,-79.3624033,43.8753974
344,344,-79.3618396,43.8748912
345,345,-79.361669,43.8748437
346,346,-79.3604881,43.8780208
347,347,-79.3595342,43.879269
348,348,-79.358202,43.879182
349,349,-79.3571645,43.8793794
350,350,-79.3554838,43.8741182
351,351,-79.3626794,43.8779168
352,352,-79.36276,43.8787451
353,353,-79.3627369,43.8798495
354,354,-79.3575371,43.8800796
355,355,-79.3566266,43.8781406
356,356,-79.3583165,43.8785133
357,357,-79.3639472,43.8791581
358,358,-79.353415,43.8818198
359,359,-79.3509451,43.8779793
360,360,-79.3517745,43.8768441
361,361,-79.3513043,43.8756227
362,362,-79.3495984,43.877459
363,363,-79.3480437,43.8776722
364,364,-79.3507406,43.8814967
365,365,-79.3477307,43.880934
366,366,-79.3472151,43.8790058
367,367,-79.3650535,43.8856691
368,368,-79.3480244,43.890474
369,369,-79.3431071,43.887668
370,370,-79.342203,43.8867771
371,371,-79.3489618,43.8869627
372,372,-79.3476777,43.8876441
373,373,-79.3469002,43.8881381
374,374,-79.3440986,43.8849384
375,375,-79.344371,43.8843956
376,376,-79.3439169,43.8828471
377,377,-79.3426129,43.8808328
378,378,-79.3458264,43.8840813
379,379,-79.3428341,43.8849662
380,380,-79.3473328,43.8822304
381,381,-79.3481667,43.8820088
382,382,-79.3478702,43.8836216
383,383,-79.3501163,43.8833334
384,384,-79.3323532,43.8191535
385,385,-79.3375974,43.8196613
386,386,-79.339108,43.8194136
387,387,-79.3404899,43.8191969
388,388,-79.2435815,43.8823437
389,389,-79.2503692,43.8928186
390,390,-79.3145996,43.848825
391,391,-79.2535522,43.8799994
392,392,-79.2300812,43.859685
393,393,-79.2290936,43.855621
394,394,-79.2197353,43.8572816
395,395,-79.2258363,43.842516
396,396,-79.232212,43.8410116
397,397,-79.2446484,43.8579986
